x_m,y_m,z_m,T_ice,T_ftst_interp,abs_err,pct_err
0.0,0.0041,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0042,0.005001,25.1941,25.1941,0.0,0.0
0.0,0.0042,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0043,0.005001,25.1953,25.1953,0.0,0.0
0.0,0.0043,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0044,0.005001,25.1964,25.1964,0.0,0.0
0.0,0.0044,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0045,0.005001,25.1973,25.1973,0.0,0.0
0.0,0.0045,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0046,0.005001,25.198,25.198,0.0,0.0
0.0,0.0046,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0047,0.005001,25.1986,25.1986,0.0,0.0
0.0,0.0047,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0048,0.005001,25.199,25.199,0.0,0.0
0.0,0.0048,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0049,0.005001,25.1992,25.1992,0.0,0.0
0.0,0.0049,0.005001,25.0,25.0,0.0,0.0
0.0001,0.005,0.005001,25.1993,25.1993,0.0,0.0
0.0,0.005,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0051,0.005001,25.1992,25.1992,0.0,0.0
0.0,0.0051,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0052,0.005001,25.199,25.199,0.0,0.0
0.0,0.0052,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0053,0.005001,25.1986,25.198599999999995,3.552713678800501e-15,1.4098853423604328e-14
0.0,0.0053,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0054,0.005001,25.198,25.198,0.0,0.0
0.0,0.0054,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0055,0.005001,25.1973,25.1973,0.0,0.0
0.0,0.0055,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0056,0.005001,25.1964,25.1964,0.0,0.0
0.0,0.0056,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0057,0.005001,25.1954,25.1953,9.999999999976694e-05,0.00039689784643134456
0.0,0.0057,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0058,0.005001,25.1942,25.1941,9.999999999976694e-05,0.0003969167506797715
0.0,0.0058,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0059,0.005001,25.1928,25.1927,9.999999999976694e-05,0.00039693880791243124
0.0,0.0059,0.005001,25.0,25.0,0.0,0.0
0.0001,0.006,0.005001,25.1912,25.1912,0.0,0.0
0.0,0.006,0.005001,25.0,25.0,0.0,0.0
0.0001,0.0061,0.005001,25.1895,25.1895,0.0,0.0
0.0,0.0061,0.005001,25.0,25.0,0.0,0.0
